Timestamp_s,RED,IR
6.4164,57815,57972
6.44,57858,58010
6.4501,57890,58054
6.4984,57845,58040
6.5133,57867,58000
6.5273,57907,57993
6.5579,57869,57954
6.5685,57894,57959
6.5927,57936,58059
6.6028,57949,58056
6.6379,57966,58124
6.6595,58017,58191
6.6796,58042,58205
6.7009,58050,58254
6.7214,58081,58308
6.7553,58087,58291
6.77,58115,58339
6.791,58151,58364
6.8157,58163,58364
6.8368,58171,58412
6.8689,58185,58423
6.8821,58184,58434
6.9034,58186,58459
6.9228,58207,58478
6.9364,58242,58502
6.9664,58255,58556
6.9894,58274,58578
7.0202,58187,58467
7.0318,58011,58235
7.0552,57878,57942
7.0889,57765,57743
7.0889,57729,57654
7.126,57762,57653
7.138,57783,57656
7.1633,57799,57705
7.1878,57832,57711
7.2076,57912,57782
7.2301,57847,57801
7.252,57874,57823
7.2702,57865,57814
7.2983,57885,57818
7.3278,57886,57807
7.3399,57877,57777
7.3619,57888,57764
7.3835,57924,57793
7.4092,57952,57843
7.4294,57963,57907
7.4669,58016,58004
7.4872,58070,58049
7.5082,58094,58090
7.5233,58109,58108
7.5622,58125,58151
7.5689,58122,58165
7.5838,58134,58197
7.6148,58170,58212
7.6298,58150,58246
7.6494,58188,58270
7.6699,58208,58275
7.6931,58206,58325
7.7147,58245,58327
7.7358,58279,58448
7.7557,58303,58432
7.7792,58278,58468
7.8048,58337,58514
7.8251,58310,58550
7.8464,58340,58553
7.8678,58241,58445
7.9021,57969,57924
7.914,57804,57710
7.9388,57764,57606
7.9566,57740,57608
7.978,57807,57615
8.0052,57827,57683
8.027,57828,57685
8.0462,57835,57684
8.0618,57841,57710
8.0939,57889,57707
8.1135,57884,57756
8.132,57891,57756
8.1563,57892,57752
8.1731,57909,57755
8.2037,57913,57737
8.2285,57939,57791
8.2419,57951,57829
8.2634,58003,57865
8.29,58018,57910
8.3043,58036,57966
8.3323,58068,58009
8.3464,58132,58046
8.3759,58121,58103
8.3979,58133,58139
8.4229,58147,58171
8.4368,58186,58200
8.4617,58171,58221
8.471,58194,58242
8.5065,58226,58275
8.5284,58247,58307
8.5491,58252,58330
8.5746,58324,58421
8.6064,58286,58439
8.6165,58303,58482
8.6372,58311,58516
8.6656,58344,58556
8.6912,58370,58569
8.707,58376,58619
8.7221,58409,58653
8.7434,58373,58615
8.7695,58228,58413
8.791,58074,58154
8.8119,57848,57802
8.8329,57854,57741
8.8578,57851,57734
8.8805,57879,57798
8.9024,57928,57801
8.9815,57920,57830
8.992,57951,57856
9.0344,57978,57905
9.0407,57985,57924
9.0571,57994,57915
9.0636,57986,57917
9.0709,58005,57925
9.086,57997,57912
9.1251,58029,57937
9.1295,58039,57974
9.1446,58056,58031
9.1811,58124,58091
9.1932,58143,58141
9.2159,58216,58176
9.2334,58219,58247
9.2498,58316,58326
9.2762,58218,58334
9.3147,58281,58380
9.3177,58279,58401
9.3519,58292,58431
9.3686,58278,58467
9.3828,58298,58510
9.4148,58311,58491
9.4372,58311,58550
9.4637,58366,58558
9.4789,58393,58573
9.5005,58384,58669
9.5179,58430,58715
9.5607,58454,58765
9.565,58481,58798
9.5828,58497,58829
9.6084,58481,58798
9.6302,58365,58659
9.645,58213,58405
9.6874,58069,58209
9.6934,58005,58031
9.7139,57979,57979
9.7388,58019,58020
9.7642,58051,58080
9.7769,58114,58155
9.8091,58128,58204
9.8269,58151,58242
9.8541,58175,58266
9.8666,58154,58259
9.8916,58175,58248
9.9291,58144,58237
9.937,58189,58213
9.9639,58144,58226
9.9783,58188,58265
9.9989,58209,58293
10.0379,58236,58364
10.0404,58261,58412
10.0749,58293,58462
10.0908,58320,58479
10.1102,58347,58529
10.1482,58379,58568
10.1583,58393,58617
10.1796,58391,58687
10.2024,58434,58718
10.2215,58447,58730
10.2481,58474,58791
10.2554,58465,58794
10.2881,58514,58817
10.3081,58525,58858
10.3455,58558,58890
10.3455,58581,58943
10.3785,58590,58948
10.3982,58620,59019
10.4158,58648,59062
10.4459,58670,59050
10.4646,58664,59076
10.4895,58536,58931
10.509,58400,58612
10.528,58268,58395
10.5638,58147,58218
10.5679,58152,58129
10.5965,58163,58141
10.6026,58165,58164
10.6402,58205,58186
10.6603,58221,58254
10.6892,58269,58267
10.7002,58301,58302
10.7276,58300,58353
10.7564,58301,58297
10.7699,58281,58293
10.7897,58269,58266
10.8116,58302,58315
10.8495,58305,58313
10.8595,58315,58320
10.8833,58368,58382
10.9033,58387,58442
10.9226,58430,58509
10.9427,58455,58512
10.9772,58471,58533
10.9845,58495,58613
11.0132,58531,58663
11.036,58552,58672
11.0651,58572,58699
11.0752,58578,58713
11.1023,58607,58750
11.1362,58610,58794
11.1448,58636,58826
11.1647,58640,58866
11.1865,58670,58880
11.2064,58681,58910
11.2369,58706,58919
11.2484,58710,58958
11.278,58730,58993
11.2901,58796,59081
11.3246,58752,59106
11.3514,58787,59136
11.3595,58739,59015
11.3873,58600,58832
11.4162,58451,58597
11.434,58341,58380
11.4504,58268,58248
11.4804,58269,58220
11.4916,58308,58219
11.5234,58314,58274
11.5467,58343,58327
11.5605,58398,58392
11.5824,58431,58422
11.6103,58436,58450
11.6378,58436,58442
11.6518,58427,58454
11.6749,58426,58417
11.7022,58435,58414
11.7328,58394,58389
11.7455,58424,58440
11.7647,58474,58484
11.7839,58491,58556
11.8036,58528,58554
11.8255,58550,58599
11.8532,58551,58669
11.8671,58596,58716
11.8947,58611,58771
11.9147,58626,58771
11.9483,58663,58797
11.9572,58660,58826
11.9814,58718,58867
11.9914,58684,58873
12.0337,58729,58921
12.0497,58708,58937
12.0684,58740,58971
12.0893,58752,58990
12.1101,58760,59036
12.1379,58822,59055
12.1621,58840,59140
12.172,58848,59134
12.2007,58843,59165
12.2281,58801,59058
12.2532,58696,58869
12.2622,58548,58646
12.2896,58422,58523
12.313,58390,58370
12.3439,58425,58368
12.3528,58410,58377
12.3767,58456,58473
12.4052,58474,58525
12.4216,58522,58551
12.4446,58566,58598
12.4567,58581,58649
12.4917,58575,58641
12.5134,58546,58623
12.5327,58542,58591
12.5481,58537,58567
12.581,58515,58559
12.5886,58552,58598
12.6214,58562,58614
12.6379,58611,58685
12.6653,58699,58763
12.6865,58678,58808
12.7063,58703,58851
12.7282,58720,58902
12.7572,58756,58949
12.7784,58776,58963
12.79,58778,58986
12.818,58810,59028
